last_close,predict,residual,LOOKBACK
1.15878,1.158075171844049,1.15965,-0.0015748281559511135,0.0012220252217211498,0.0009839737700531258,120,512,64,32,2,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1579900356643584,1.15965,-0.0016599643356416394,0.001288348716349365,0.0009402903553564102,120,512,64,32,3,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1589448954146782,1.15965,-0.000705104585321914,0.0011466781322199565,0.0010741027654148638,120,512,64,32,4,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.154696242315974,1.15965,-0.004953757684026172,0.006172481169088338,0.005487972684204578,120,512,64,32,5,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1299451898986643,1.15965,-0.029704810101335744,1.0494651916699531,0.8220364570617675,120,512,64,32,6,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1577446191884753,1.15965,-0.0019053808115248039,0.0004594242491920936,0.0005534173882509538,120,8,64,64,1,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1579156484194901,1.15965,-0.0017343515805099408,0.00047908105883106764,0.00043883609210014084,120,8,64,64,2,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1587143957586696,1.15965,-0.0009356042413304344,0.0005183847944969858,0.00041494404594572643,120,8,64,64,3,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.158105198944261,1.15965,-0.0015448010557390646,0.0005833280768382797,0.0005983228994499438,120,8,64,64,4,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1577008665775526,1.15965,-0.0019491334224475132,0.0006779492874767087,0.0005008766302001888,120,8,64,64,5,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1568365259594424,1.15965,-0.002813474040557651,0.0007976141433644979,0.000707969418397197,120,8,64,64,6,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1585890096206415,1.15965,-0.001060990379358584,0.0004377971605017497,0.0005270487511330803,120,16,64,64,1,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1576980664919103,1.15965,-0.0019519335080897537,0.0004602464451908525,0.0006302628843374036,120,16,64,64,2,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1581616350946313,1.15965,-0.0014883649053687442,0.0004948228348058724,0.00047617817438386293,120,16,64,64,3,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1571793548692793,1.15965,-0.0024706451307208166,0.000580203854806693,0.0007223578225024632,120,16,64,64,4,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1582427730914293,1.15965,-0.0014072269085707578,0.0006680889114939253,0.0006639332822580913,120,16,64,64,5,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.156457160174531,1.15965,-0.0031928398254690293,0.0009318382601010401,0.0008710182963999941,120,16,64,64,6,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1576389592295397,1.15965,-0.002011040770460326,0.00044452348264017717,0.0007289933882230588,120,32,64,64,1,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.157372628659443,1.15965,-0.002277371340557055,0.00046472649088054904,0.0006501087730448956,120,32,64,64,2,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1577920475481864,1.15965,-0.001857952451813638,0.0004863442601194477,0.000777633978615109,120,32,64,64,3,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.157821663969171,1.15965,-0.001828336030829103,0.0005704276455094278,0.0006168776962089723,120,32,64,64,4,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1552466305438136,1.15965,-0.004403369456186468,0.0007267771463912337,0.0009522996805548572,120,32,64,64,5,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
1.15878,1.1563840083613885,1.15965,-0.0032659916386115206,0.001027557751571434,0.0008776825105973657,120,32,64,64,6,1,5
last_close,predict,target_value,residual,train_loss,test_loss,LOOKBACK,BATCH_SIZE,HIDDEN_SIZE,CONV1_SIZE,NUM_LAYERS,OUTPUT_SIZE,EPOCHS
